Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,ASIANPAINT,EQ,361.2,370,390,370,385,381.65,380.54,3318,126261725000,,,
2000-01-04,ASIANPAINT,EQ,381.65,380,392,375,390,385.55,383.5,4818,184769865000,,,
2000-01-05,ASIANPAINT,EQ,385.55,371.5,390,371.5,383,383,379.81,2628,99813845000,,,
2000-01-06,ASIANPAINT,EQ,383,384.9,384.9,374.5,375.1,377.5,379.88,3354,127411440000,,,
2000-01-07,ASIANPAINT,EQ,377.5,376,390,370,389,385.7,383.38,9589,367627470000,,,
2000-01-10,ASIANPAINT,EQ,385.7,415,416.6,409,416.6,415,414.97,60313,2502823025000,,,
2000-01-11,ASIANPAINT,EQ,415,415,423,409,417,415.2,412.51,65570,2704802390000,,,
2000-01-12,ASIANPAINT,EQ,415.2,420,448.45,410.05,418.55,417.65,421.46,24854,1047500785000,,,
2000-01-13,ASIANPAINT,EQ,417.65,423,429.9,413.05,417.1,418.7,422.4,9169,387300640000,,,
2000-01-14,ASIANPAINT,EQ,418.7,410,414.9,408,410.6,410,410.05,64603,2649021300000,,,
2000-01-17,ASIANPAINT,EQ,410,420,421,401,415,411.35,413.72,7537,311819530000,,,
2000-01-18,ASIANPAINT,EQ,411.35,410,419,410,416,414.05,413.76,7656,316775985000,,,
2000-01-19,ASIANPAINT,EQ,414.05,425,430,417.5,418,419.35,421.93,28800,1215149345000,,,
2000-01-20,ASIANPAINT,EQ,419.35,425,428.9,412,422,420.55,418.78,54282,2273214310000,,,
2000-01-21,ASIANPAINT,EQ,420.55,422,445,421.25,425.9,425.85,429.77,48388,2079549305000,,,
2000-01-24,ASIANPAINT,EQ,425.85,434,459.95,434,459.95,458.4,457.7,55504,2540441745000,,,
2000-01-25,ASIANPAINT,EQ,458.4,470,495.05,467,495.05,494.7,484,45422,2198446595000,,,
2000-01-27,ASIANPAINT,EQ,494.7,530,530,460,477,472.95,477.35,33156,1582709010000,,,
2000-01-28,ASIANPAINT,EQ,472.95,470,483,465,481,480.65,479.59,48664,2333871380000,,,
2000-01-31,ASIANPAINT,EQ,480.65,499,499,460,460.5,460.5,461.12,35334,1629327920000,,,
2000-02-01,ASIANPAINT,EQ,460.5,462,468,459,460.05,460.3,460.67,29884,1376668355000,,,
2000-02-02,ASIANPAINT,EQ,460.3,475,475,459,460,460.1,461.38,14142,652481155000,,,
2000-02-03,ASIANPAINT,EQ,460.1,462,463,455,455,456.1,459.08,24627,1130581825000,,,
2000-02-04,ASIANPAINT,EQ,456.1,460,465,455,455,456.7,458.31,71643,3283434940000,,,
2000-02-07,ASIANPAINT,EQ,456.7,460,460,440,455,453.65,450.96,6906,311429660000,,,
2000-02-08,ASIANPAINT,EQ,453.65,440,481,440,463,459.85,450.21,53864,2425017050000,,,
2000-02-09,ASIANPAINT,EQ,459.85,469,469,447.5,455.5,457.15,455.68,2794,127317755000,,,
2000-02-10,ASIANPAINT,EQ,457.15,460,460,440,440,440.9,449.09,13668,613813465000,,,
2000-02-11,ASIANPAINT,EQ,440.9,437,450,431.5,450,443.35,440.32,5349,235525895000,,,
2000-02-14,ASIANPAINT,EQ,443.35,440,450,414.9,435,431.75,434.8,3624,157572460000,,,
2000-02-15,ASIANPAINT,EQ,431.75,445,445,400.1,415.95,416.65,411.27,8167,335881405000,,,
2000-02-16,ASIANPAINT,EQ,416.65,427,427,390,390,399.1,403.8,5557,224389425000,,,
2000-02-17,ASIANPAINT,EQ,399.1,375,408,375,394,392.6,391.61,17561,687713560000,,,
